(X(m), U (m), V(m)
-40000, -0.00176204, -0.00016223
-39200, -0.00176215, -0.000119005
-38400, -0.00176226, -7.57795e-05
-37600, -0.00176236, -3.2554e-05
-36800, -0.00176296, 1.10408e-05
-36000, -0.0017638, 5.48203e-05
-35200, -0.00176465, 9.85997e-05
-34400, -0.00176553, 0.00014283
-33600, -0.0017665, 0.000187964
-32800, -0.00176747, 0.000233097
-32000, -0.00176844, 0.00027823
-31200, -0.00176988, 0.00032629
-30400, -0.00177131, 0.000374351
-29600, -0.00177274, 0.000422411
-28800, -0.00177349, 0.000472889
-28000, -0.0017739, 0.000524577
-27200, -0.00177431, 0.000576264
-26400, -0.00177401, 0.000629625
-25600, -0.00177229, 0.000686334
-24800, -0.00177058, 0.000743043
-24000, -0.00176886, 0.000799753
-23200, -0.00176328, 0.000863209
-22400, -0.00175769, 0.000926666
-21600, -0.00175211, 0.000990123
-20800, -0.00174272, 0.00105697
-20000, -0.00173144, 0.00112552
-19200, -0.00172016, 0.00119407
-18400, -0.00170553, 0.00126497
-17600, -0.00168419, 0.00134057
-16800, -0.00166286, 0.00141616
-16000, -0.00164153, 0.00149176
-15200, -0.00160705, 0.0015719
-14400, -0.00157258, 0.00165203
-13600, -0.0015381, 0.00173217
-12800, -0.00149164, 0.00181365
-12000, -0.0014392, 0.00189579
-11200, -0.00138675, 0.00197793
-10400, -0.00132731, 0.0020585
-9600, -0.00125386, 0.0021359
-8800, -0.00118041, 0.00221331
-8000, -0.00110696, 0.00229071
-7200, -0.00101222, 0.00235546
-6400, -0.000917491, 0.00242022
-5600, -0.000822758, 0.00248497
-4800, -0.000716161, 0.00253534
-4000, -0.000603632, 0.00257851
-3200, -0.000491103, 0.00262168
-2400, -0.00037507, 0.00265645
-1600, -0.000252029, 0.00267441
-800, -0.000128989, 0.00269238
0, -5.94832e-06, 0.00271034
800, 0.000117379, 0.00269187
1600, 0.000240706, 0.0026734
2400, 0.000364033, 0.00265493
3200, 0.000480187, 0.00261942
4000, 0.000592756, 0.00257539
4800, 0.000705324, 0.00253135
5600, 0.000811878, 0.00248011
6400, 0.000906402, 0.00241446
7200, 0.00100093, 0.00234881
8000, 0.00109545, 0.00228316
8800, 0.00116813, 0.0022055
9600, 0.00124081, 0.00212783
10400, 0.00131348, 0.00205017
11200, 0.00137237, 0.00196971
12000, 0.00142435, 0.00188787
12800, 0.00147634, 0.00180602
13600, 0.00152245, 0.00172475
14400, 0.0015568, 0.00164465
15200, 0.00159116, 0.00156455
16000, 0.00162552, 0.00148444
16800, 0.00164632, 0.00141029
17600, 0.00166712, 0.00133613
18400, 0.00168793, 0.00126197
19200, 0.00170227, 0.00119074
20000, 0.00171337, 0.00112098
20800, 0.00172448, 0.00105121
21600, 0.00173356, 0.000984027
22400, 0.00173859, 0.000922004
23200, 0.00174363, 0.000859981
24000, 0.00174866, 0.000797958
24800, 0.00175114, 0.000742109
25600, 0.00175362, 0.000686259
26400, 0.0017561, 0.00063041
27200, 0.0017569, 0.000577568
28000, 0.00175687, 0.000526228
28800, 0.00175683, 0.000474889
29600, 0.00175634, 0.000424611
30400, 0.00175495, 0.000376455
31200, 0.00175356, 0.0003283
32000, 0.00175218, 0.000280144
32800, 0.00175075, 0.000235242
33600, 0.00174933, 0.000190341
34400, 0.00174791, 0.000145439
35200, 0.00174693, 0.000101611
36000, 0.00174617, 5.83195e-05
36800, 0.00174541, 1.50282e-05
37600, 0.00174487, -2.81172e-05
38400, 0.00174476, -7.09708e-05
39200, 0.00174464, -0.000113824
