(X(m), U (m), V(m)
-40000, -0.00274487, -0.00140398
-39200, -0.00274492, -0.00133932
-38400, -0.00274497, -0.00127466
-37600, -0.00274502, -0.00120999
-36800, -0.00274497, -0.0011483
-36000, -0.00274487, -0.00108809
-35200, -0.00274478, -0.00102788
-34400, -0.0027461, -0.000969265
-33600, -0.00275025, -0.000913832
-32800, -0.00275441, -0.000858399
-32000, -0.00275856, -0.000802966
-31200, -0.00276946, -0.000751549
-30400, -0.00278036, -0.000700132
-29600, -0.00279126, -0.000648715
-28800, -0.00280866, -0.000598138
-28000, -0.0028293, -0.000547981
-27200, -0.00284995, -0.000497824
-26400, -0.00287555, -0.000447599
-25600, -0.00291106, -0.00039724
-24800, -0.00294658, -0.000346881
-24000, -0.00298209, -0.000296522
-23200, -0.00302734, -0.000233495
-22400, -0.00307258, -0.000170467
-21600, -0.00311783, -0.00010744
-20800, -0.0031752, -3.67737e-05
-20000, -0.00323863, 3.77125e-05
-19200, -0.00330206, 0.000112199
-18400, -0.00337242, 0.000190152
-17600, -0.00345666, 0.00027504
-16800, -0.0035409, 0.000359928
-16000, -0.00362514, 0.000444816
-15200, -0.00373865, 0.000593308
-14400, -0.00385217, 0.000741799
-13600, -0.00396569, 0.00089029
-12800, -0.00409808, 0.00108755
-12000, -0.00423991, 0.0013092
-11200, -0.00438174, 0.00153085
-10400, -0.00452006, 0.00180236
-9600, -0.00465136, 0.00217359
-8800, -0.00478265, 0.00254483
-8000, -0.00491394, 0.00291606
-7200, -0.00495442, 0.00355879
-6400, -0.00499489, 0.00420152
-5600, -0.00503537, 0.00484425
-4800, -0.00477502, 0.00563373
-4000, -0.00436425, 0.00649659
-3200, -0.00395349, 0.00735945
-2400, -0.00331414, 0.00811513
-1600, -0.00221762, 0.00865646
-800, -0.0011211, 0.00919779
0, -2.45813e-05, 0.00973913
800, 0.00109262, 0.00921652
1600, 0.00220983, 0.00869391
2400, 0.00332703, 0.0081713
3200, 0.00397182, 0.00741041
4000, 0.0043804, 0.00653038
4800, 0.00478898, 0.00565035
5600, 0.00504826, 0.00484843
6400, 0.00500894, 0.00420273
7200, 0.00496962, 0.00355703
8000, 0.00493029, 0.00291133
8800, 0.00479689, 0.002536
9600, 0.00466349, 0.00216067
10400, 0.00453009, 0.00178534
11200, 0.00438976, 0.00151607
12000, 0.00424597, 0.00129982
12800, 0.00410218, 0.00108358
13600, 0.0039686, 0.000891661
14400, 0.00385543, 0.000748395
15200, 0.00374227, 0.000605129
16000, 0.0036291, 0.000461863
16800, 0.00354358, 0.000362712
17600, 0.00345806, 0.000263561
18400, 0.00337254, 0.000164411
19200, 0.00330251, 8.82851e-05
20000, 0.00324023, 2.36723e-05
20800, 0.00317795, -4.09404e-05
21600, 0.00312029, -0.000103842
22400, 0.00307184, -0.000163322
23200, 0.00302339, -0.000222802
24000, 0.00297494, -0.000282282
24800, 0.00294408, -0.000337382
25600, 0.00291322, -0.000392482
26400, 0.00288236, -0.000447582
27200, 0.00285687, -0.000499062
28000, 0.00283406, -0.000548733
28800, 0.00281126, -0.000598404
29600, 0.0027924, -0.000648754
30400, 0.00278141, -0.00070046
31200, 0.00277042, -0.000752166
32000, 0.00275943, -0.000803873
32800, 0.00275526, -0.000859143
33600, 0.00275108, -0.000914413
34400, 0.0027469, -0.000969683
35200, 0.00274529, -0.00102814
36000, 0.00274496, -0.0010882
36800, 0.00274463, -0.00114826
37600, 0.00274437, -0.00120977
38400, 0.00274424, -0.00127421
39200, 0.00274411, -0.00133864
